id,label,user_id,degree_centrality,in_degree,out_degree,betweenness_centrality,closeness_centrality,pagerank,clustering_coefficient,eigenvector_centrality
194,DevaanshKathuria,174385992,0.00024752475247524753,3,0,0.0,0.0,0.00041415429977221076,0.0,0.006510895592168925
195,SaisakthiM,203510226,0.00041254125412541255,4,1,2.6781024364195785e-07,0.00016501650165016502,0.00022463686393597835,0.1,0.0032310766143928927
196,Sainan,63328889,0.00024752475247524753,2,1,2.7234940031385545e-08,0.00022002200220022002,0.00011655767454545094,0.0,0.0001691168781126236
197,Mick-Mick01,103585891,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
198,lukaselmer,326935,0.00024752475247524753,3,0,0.0,0.0,0.0001399590118796423,0.0,0.0
199,Aphelion-Z,192827667,0.00016501650165016502,2,0,0.0,0.0,0.00012029206826026728,1.0,0.001774930489422354
200,khteh,3871483,0.00016501650165016502,2,0,0.0,0.0,0.00011797939657537001,0.0,0.001405931948788492
201,suraj-naithani,66134800,8.250825082508251e-05,1,0,0.0,0.0,0.00012750412358418267,0.0,0.0064960723638084064
202,Shanu2409,91169674,8.250825082508251e-05,1,0,0.0,0.0,0.00012750412358418267,0.0,0.0064960723638084064
203,rakibulinux,59226530,0.00033003300330033004,4,0,0.0,0.0,0.00026781791128686585,0.0,0.00295821748237059
204,pravinghub,110684578,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
205,guimard,47256,0.0004950495049504951,6,0,0.0,0.0,0.00015999227592968364,0.26666666666666666,0.010479373627365628
206,CHKoushikRao,157813820,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
207,cornusandu,34373732,0.00024752475247524753,3,0,0.0,0.0,0.00021206318177665982,0.3333333333333333,0.002422725566956529
208,SrinjoyDev,205462634,0.0006600660066006601,6,2,9.107078917655322e-07,0.00033003300330033004,0.00027371598657509685,0.35714285714285715,0.007747565127065144
209,KiranKumar674,177744973,8.250825082508251e-05,1,0,0.0,0.0,0.000116177839360112,0.0,0.002422725566956529
210,Nikhil012N,133760076,0.00024752475247524753,3,0,0.0,0.0,0.00017189205776404053,0.0,0.0056530263228985675
211,Zohaib-Alvi,38066712,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
212,renaoch,202912332,0.00016501650165016502,2,0,0.0,0.0,0.00016880467847396933,0.0,0.0056530263228985675
213,D19cannon,14916043,0.00024752475247524753,3,0,0.0,0.0,0.00012182803313339975,0.3333333333333333,0.004037875944927548
214,jeetvani,88400079,8.250825082508251e-05,1,0,0.0,0.0,0.00020830725226400498,0.0,0.0
215,mohdumer-dev,156508865,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
216,Dhairya3391,66764647,0.00024752475247524753,3,0,0.0,0.0,0.000315979605005239,0.0,0.0
217,mntkat,85989407,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
218,OP-Prajwal,164473062,0.00033003300330033004,4,0,0.0,0.0,0.00020786729027441695,0.5,0.0063008218757704655
219,NalinDalal,116961144,0.00016501650165016502,2,0,0.0,0.0,0.00021904528752895,0.0,0.007268176700869587
220,ajpradeep,237213993,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
221,theiter8r,194221439,0.00016501650165016502,2,0,0.0,0.0,0.00016394462252751038,0.0,0.0005778026142509755
222,NotARagebait,237111593,0.00016501650165016502,2,0,0.0,0.0,0.00016394462252751038,0.0,0.0005778026142509755
